SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
210018.23-051235.8 3.3107 23.111 0.617 19.172 0.012 18.646 0.011 18.507 0.015 18.419 0.033 -1.000 -9.000 -28.097
210022.52-003030.9 2.0137 19.919 0.041 19.695 0.016 19.398 0.015 19.158 0.016 18.948 0.040 -1.000 -9.000 -26.355
210023.55-004407.3 1.2483 20.223 0.056 20.050 0.022 19.748 0.018 19.655 0.021 19.773 0.080 -1.000 -9.000 -24.749
210025.03-064145.9 3.1379 21.553 0.128 18.746 0.015 18.173 0.013 18.011 0.014 17.980 0.026  0.000 -9.000 -28.495
210027.71+004208.9 1.0647 20.233 0.043 19.925 0.018 19.657 0.016 19.765 0.024 19.606 0.066 -1.000 -9.000 -24.270
210028.68-000954.6 2.5308 20.751 0.064 20.099 0.017 20.002 0.020 20.013 0.027 19.784 0.082 -1.000 -9.000 -26.055
210031.66+010157.6 0.9090 21.028 0.092 20.553 0.025 20.293 0.026 20.175 0.037 20.056 0.112 -1.000 -9.000 -23.483
210036.73-005710.6 1.4094 19.659 0.037 19.585 0.020 19.301 0.014 19.256 0.018 19.356 0.060 -1.000 -9.000 -25.466
210039.29-001953.7 1.5317 19.400 0.030 19.126 0.014 19.090 0.012 18.952 0.017 19.005 0.045 -1.000 -9.000 -25.936
210041.71-065853.2 0.3574 18.709 0.020 18.556 0.014 18.450 0.013 18.477 0.014 18.004 0.025  0.000 -9.000 -22.887
210043.84+002207.5 1.4526 20.008 0.041 19.771 0.014 19.571 0.015 19.401 0.018 19.282 0.062 -1.000 -9.000 -25.365
210045.55-010601.5 1.8941 20.902 0.079 20.620 0.032 20.551 0.029 20.241 0.032 20.074 0.108 -1.000 -9.000 -25.173
210049.01+003835.2 0.7987 20.495 0.051 20.430 0.023 20.404 0.026 20.266 0.035 20.052 0.095 -1.000 -9.000 -23.077
210051.53+002132.6 0.6650 20.613 0.062 20.170 0.018 20.214 0.022 20.150 0.030 20.006 0.113 -1.000 -9.000 -22.738
210053.89+000715.1 1.7061 19.953 0.043 19.579 0.018 19.425 0.014 19.085 0.017 19.123 0.057 -1.000 -9.000 -26.088
210054.58-004842.9 3.5132 24.776 1.231 20.895 0.034 20.153 0.024 20.043 0.026 19.940 0.093 -1.000 -9.000 -26.734
210058.50-002606.1 1.0180 20.213 0.051 20.113 0.019 19.916 0.018 19.906 0.024 19.900 0.086 -1.000 -9.000 -23.991
210101.99+010618.8 0.5928 19.235 0.027 18.845 0.016 18.877 0.013 18.703 0.015 18.838 0.040 -1.000 -9.000 -23.943
210102.45-064909.6 1.0819 19.466 0.032 19.226 0.015 18.918 0.013 18.954 0.019 18.964 0.049  0.000 -9.000 -25.089
210102.50-000751.2 1.5375 20.686 0.060 20.470 0.021 20.251 0.023 19.998 0.028 20.036 0.098 -1.000 -9.000 -24.915
210113.15-005120.2 1.7390 19.440 0.029 19.404 0.018 19.354 0.015 19.117 0.016 19.065 0.046 -1.000 -9.000 -26.080
210114.99-003150.6 0.5200 20.747 0.074 20.443 0.023 20.314 0.027 20.183 0.032 20.033 0.098 -1.000 -9.000 -22.085
210117.59-000429.0 1.3953 20.421 0.050 20.473 0.021 20.157 0.021 20.092 0.028 19.979 0.093 -1.000 -9.000 -24.585
210121.51+001127.6 0.6614 21.538 0.141 20.925 0.031 20.634 0.030 20.245 0.032 20.079 0.128 -1.000 -9.000 -22.676
210127.95+004639.8 1.3059 19.947 0.037 19.771 0.015 19.480 0.015 19.392 0.020 19.372 0.055 -1.000 -9.000 -25.154
210131.64-062051.6 1.3346 19.027 0.026 18.902 0.012 18.620 0.013 18.638 0.016 18.698 0.044  0.000 -9.000 -25.898
210137.44+010836.0 2.2753 20.638 0.063 20.123 0.021 19.954 0.021 19.897 0.029 19.959 0.101 -1.000 -9.000 -25.963
210140.09-010313.6 1.5993 21.141 0.096 20.854 0.036 20.221 0.023 19.964 0.026 19.921 0.097 -1.000 -9.000 -25.065
210142.45-000100.0 1.2440 19.304 0.027 19.085 0.011 18.824 0.011 18.793 0.014 18.690 0.034 -1.000 -9.000 -25.609
210142.55+003724.5 2.0160 19.684 0.033 19.626 0.018 19.600 0.019 19.475 0.022 19.258 0.051 -1.000 -9.000 -26.076
210144.35+005219.7 2.1727 20.381 0.060 20.005 0.021 19.861 0.020 19.816 0.046 19.606 0.092 -1.000 -9.000 -25.918
210147.54-000907.8 3.3163 23.441 0.567 21.025 0.032 20.568 0.029 20.285 0.033 19.881 0.087 -1.000 -9.000 -26.370
210149.13-010848.8 0.6027 20.974 0.084 20.517 0.030 20.518 0.028 20.176 0.031 19.995 0.107 -1.000 -9.000 -22.522
210149.24-062539.4 0.9483 18.753 0.026 18.512 0.013 18.284 0.012 18.284 0.015 18.229 0.031  0.000 -9.000 -25.440
210149.76+102346.8 1.6440 19.262 0.028 18.917 0.010 18.739 0.010 18.453 0.013 18.504 0.030 -1.000 -9.000 -26.605
210149.78+011003.2 0.4514 19.296 0.028 18.891 0.015 18.759 0.011 18.568 0.013 18.527 0.033 -1.000 -9.000 -23.439
210155.44-062711.8 4.3387 23.662 0.705 22.598 0.111 20.326 0.025 20.086 0.031 19.877 0.116  0.000 -9.000 -27.117
210200.42+000501.8 0.3290 19.656 0.036 19.282 0.016 18.769 0.011 18.621 0.016 18.104 0.027 -1.000 -9.000 -22.562
210200.71+002623.4 1.5393 20.346 0.052 19.932 0.021 19.341 0.017 18.900 0.015 18.839 0.037 -1.000 -9.000 -26.016
210202.85+010918.3 1.3975 19.755 0.035 19.678 0.017 19.333 0.017 19.284 0.030 19.377 0.064 -1.000 -9.000 -25.459
210203.86-010941.4 1.3164 21.060 0.084 20.986 0.041 20.332 0.025 20.203 0.034 20.291 0.134 -1.000 -9.000 -24.380
210203.94-004843.1 1.0619 19.675 0.039 19.445 0.018 19.212 0.014 19.117 0.019 19.059 0.046 -1.000 -9.000 -24.897
210205.06+002043.4 0.6846 20.913 0.075 20.436 0.021 20.331 0.025 20.260 0.033 20.263 0.141 -1.000 -9.000 -22.723
210205.22-061414.1 0.5658 19.332 0.033 18.863 0.015 18.671 0.013 18.207 0.012 18.309 0.033  0.000 -9.000 -24.280
210208.15-073335.2 2.6597 19.370 0.033 18.325 0.016 18.196 0.012 17.974 0.011 17.693 0.024 15.681 -9.000 -28.196
210208.53-064501.9 0.3250 19.539 0.033 19.183 0.016 18.768 0.014 18.699 0.015 18.003 0.026  0.000 -9.000 -22.479
210209.74-053938.7 1.4829 19.744 0.039 19.479 0.014 19.350 0.015 19.216 0.020 19.257 0.071  0.000 -9.000 -25.570
210209.94-005621.0 2.0025 20.289 0.048 20.419 0.027 20.447 0.028 20.187 0.036 20.175 0.120 -1.000 -9.000 -25.339
210211.50-064645.0 0.3578 19.797 0.037 19.695 0.018 19.329 0.018 18.971 0.018 18.340 0.032  0.000 -9.000 -22.441
210212.95-001944.7 1.4598 19.741 0.037 19.695 0.019 19.426 0.016 19.236 0.020 19.203 0.051 -1.000 -9.000 -25.554
210214.03+002509.0 0.4112 19.829 0.037 19.660 0.015 19.664 0.018 19.526 0.019 19.369 0.068 -1.000 -9.000 -22.205
210214.73-053652.3 1.1676 19.292 0.031 19.181 0.013 18.910 0.013 18.867 0.017 18.850 0.053  0.000 -9.000 -25.350
210216.52+104906.6 4.1823 24.758 1.182 21.264 0.042 19.615 0.018 18.988 0.015 18.802 0.039 -1.000 -9.000 -28.182
210217.52+001005.2 1.2198 20.873 0.083 20.557 0.025 20.212 0.023 20.111 0.030 20.240 0.144 -1.000 -9.000 -24.258
210218.76+000537.2 1.6296 20.890 0.084 20.557 0.027 20.651 0.038 20.246 0.040 20.202 0.140 -1.000 -9.000 -24.788
210219.94+004026.9 1.2345 20.295 0.044 20.079 0.020 19.693 0.016 19.564 0.022 19.494 0.060 -1.000 -9.000 -24.838
210221.02+010222.4 2.1414 20.832 0.082 20.570 0.028 20.423 0.029 20.283 0.040 19.973 0.105 -1.000 -9.000 -25.445
210221.98+093940.0 0.5174 19.229 0.027 18.965 0.011 18.986 0.013 18.843 0.012 18.781 0.037 -1.000 -9.000 -23.425
210225.32-004841.8 0.9368 18.782 0.025 18.581 0.016 18.358 0.012 18.473 0.017 18.392 0.029 -1.000 -9.000 -25.234
210225.74-055056.1 1.0205 19.450 0.030 19.175 0.015 18.800 0.014 18.735 0.014 18.540 0.032  0.000 -9.000 -25.162
210226.85+002035.0 1.0072 19.092 0.025 18.927 0.013 18.710 0.012 18.735 0.013 18.724 0.042 -1.000 -9.000 -25.192
210226.97-004901.0 1.3022 19.062 0.029 18.984 0.016 18.741 0.013 18.702 0.018 18.716 0.036 -1.000 -9.000 -25.796
210228.56+003042.3 0.9264 20.768 0.070 20.363 0.028 20.122 0.024 20.099 0.032 19.906 0.085 -1.000 -9.000 -23.601
210229.22-063015.7 0.7595 19.693 0.036 19.362 0.015 19.336 0.019 19.364 0.022 19.227 0.067  0.000 -9.000 -23.850
210230.70+094125.0 0.7945 19.189 0.027 18.528 0.009 18.350 0.010 18.346 0.012 17.977 0.024 -1.000 -9.000 -24.970
210235.88+111022.2 2.2587 19.843 0.043 19.265 0.017 18.899 0.013 18.728 0.021 18.561 0.040 -1.000 -9.000 -27.081
210236.23+011342.1 1.7102 21.001 0.082 20.545 0.025 20.073 0.023 19.609 0.025 19.452 0.070 -1.000 -9.000 -25.638
210240.22-001347.5 0.9859 20.007 0.047 19.894 0.019 19.628 0.017 19.668 0.024 19.476 0.063 -1.000 -9.000 -24.179
210246.65+103146.3 1.3821 19.566 0.032 19.573 0.016 19.233 0.015 19.164 0.018 19.169 0.046 -1.000 -9.000 -25.492
210247.25+103852.2 1.9507 19.499 0.032 19.218 0.015 19.055 0.017 18.887 0.016 18.732 0.038 -1.000 -9.000 -26.585
210248.13-000207.7 1.5538 19.070 0.025 18.858 0.013 18.741 0.012 18.563 0.012 18.685 0.035 -1.000 -9.000 -26.355
210249.00-004915.5 1.0522 19.618 0.038 19.314 0.021 18.945 0.014 18.884 0.014 18.837 0.038 -1.000 -9.000 -25.106
210251.39-052846.0 1.4641 19.850 0.043 19.587 0.016 19.482 0.017 19.351 0.022 19.338 0.066 -1.000 -9.000 -25.414
210251.58+002657.4 1.1655 20.556 0.060 20.435 0.024 20.202 0.024 20.154 0.032 20.125 0.101 -1.000 -9.000 -24.107
210255.16-064112.2 2.1105 19.817 0.043 19.700 0.017 19.543 0.016 19.288 0.018 19.013 0.049  0.000 -9.000 -26.380
210256.39+102751.5 1.9569 19.339 0.028 19.227 0.015 19.123 0.014 18.959 0.017 18.861 0.038 -1.000 -9.000 -26.516
210257.35-001037.0 0.3047 18.621 0.022 18.275 0.012 17.957 0.010 17.932 0.010 17.297 0.018 -1.000 -9.000 -23.070
210258.22+002023.4 3.3430 25.042 0.862 20.907 0.029 20.508 0.029 20.356 0.034 20.098 0.128 -1.000 -9.000 -26.344
210259.89+001159.3 2.0188 18.879 0.026 18.719 0.017 18.424 0.014 18.244 0.015 18.086 0.029 -1.000 -9.000 -27.310
210301.25+095935.7 1.7721 19.949 0.042 19.232 0.013 18.887 0.012 18.576 0.012 18.532 0.035 -1.000 -9.000 -26.652
210306.69+003857.2 1.3390 20.655 0.056 20.701 0.025 20.320 0.024 20.260 0.034 20.248 0.115 -1.000 -9.000 -24.339
210306.93+091207.1 0.6628 19.803 0.042 19.134 0.013 18.932 0.014 18.748 0.014 18.715 0.037 -1.000 -9.000 -24.150
210309.98+105546.5 1.7193 20.274 0.053 19.810 0.017 19.569 0.017 19.196 0.017 19.114 0.049 -1.000 -9.000 -26.014
210311.68-060059.4 3.3359 21.763 0.144 19.709 0.016 19.372 0.018 19.232 0.021 19.156 0.059  0.000 -9.000 -27.410
210318.01-004642.7 1.3195 20.121 0.053 20.034 0.023 19.653 0.021 19.701 0.020 19.843 0.086 -1.000 -9.000 -24.834
210319.57-065951.5 2.0623 20.055 0.044 19.878 0.022 19.511 0.018 19.346 0.020 19.075 0.055  0.000 -9.000 -26.291
210320.11+004444.2 1.5841 20.337 0.045 20.001 0.017 19.790 0.017 19.505 0.020 19.487 0.061 -1.000 -9.000 -25.496
210321.26+002223.0 1.8936 19.641 0.033 19.426 0.014 19.232 0.013 18.935 0.014 18.734 0.043 -1.000 -9.000 -26.484
210327.02+005733.2 2.0842 20.717 0.075 20.485 0.025 20.251 0.027 20.108 0.034 19.766 0.089 -1.000 -9.000 -25.577
210328.81-002945.2 2.4850 20.467 0.060 19.785 0.017 19.605 0.017 19.551 0.020 19.406 0.059 -1.000 -9.000 -26.447
210328.98-061106.0 2.4396 22.760 0.405 21.876 0.070 21.018 0.045 20.624 0.047 19.896 0.119  0.000 -9.000 -25.365
210333.36-071829.1 2.1145 19.892 0.045 19.505 0.015 19.204 0.015 19.074 0.016 18.846 0.043  0.000 -9.000 -26.596
210336.74+010434.7 1.9550 19.922 0.041 19.569 0.016 19.277 0.014 18.838 0.014 18.586 0.037 -1.000 -9.000 -26.724
210345.00-001905.8 1.7927 19.715 0.036 19.560 0.017 19.449 0.019 19.099 0.024 19.081 0.048 -1.000 -9.000 -26.147
210345.63-060327.4 0.4601 19.901 0.038 19.495 0.015 19.263 0.015 18.987 0.019 18.732 0.042  0.000 -9.000 -23.023
210345.64-005623.1 0.4234 20.010 0.037 19.664 0.018 19.426 0.015 19.044 0.016 18.549 0.033 -1.000 -9.000 -22.751
210348.99+105051.0 2.0150 19.887 0.041 19.541 0.017 19.257 0.013 19.123 0.023 18.891 0.041 -1.000 -9.000 -26.416
210349.46-073258.7 0.8841 19.747 0.039 19.318 0.018 19.064 0.017 19.080 0.019 18.982 0.046  0.000 -9.000 -24.540
210354.58+001216.9 1.1200 18.641 0.025 18.454 0.014 18.115 0.011 18.153 0.015 18.194 0.030 -1.000 -9.000 -26.005
210355.20+010741.8 1.2921 18.660 0.025 18.352 0.012 18.029 0.010 17.963 0.011 18.036 0.029 -1.000 -9.000 -26.672
210356.78+001541.4 0.8748 17.587 0.015 17.317 0.010 17.204 0.010 17.273 0.012 17.215 0.018 -1.000 -9.000 -26.289
210358.74-072802.4 0.1367 18.174 0.019 17.455 0.015 17.166 0.013 16.721 0.014 16.721 0.017 15.091 -9.000 -22.463
210359.62+000431.1 1.2187 19.900 0.043 19.704 0.018 19.210 0.014 19.209 0.019 19.156 0.057 -1.000 -9.000 -25.152
210401.98+002249.2 1.0029 18.754 0.022 18.164 0.011 17.795 0.010 17.738 0.013 17.554 0.021 -1.000 -9.000 -26.167
210407.18-055354.7 1.2329 19.221 0.026 19.010 0.012 18.739 0.014 18.699 0.015 18.775 0.040  0.000 -9.000 -25.680
210416.26+000516.4 1.3819 20.415 0.060 20.317 0.023 19.930 0.020 19.944 0.027 19.834 0.099 -1.000 -9.000 -24.714
210420.04+110555.3 1.4921 19.785 0.042 19.658 0.014 19.476 0.016 19.218 0.023 19.297 0.068 -1.000 -9.000 -25.645
210422.60-000443.2 1.4418 19.253 0.027 19.018 0.014 18.741 0.009 18.568 0.015 18.556 0.033 -1.000 -9.000 -26.198
210422.87-053650.6 0.6462 19.602 0.036 19.180 0.015 19.189 0.015 18.931 0.017 18.800 0.051 -1.000 -9.000 -23.886
210423.09+111210.9 2.2034 19.514 0.036 19.069 0.011 18.902 0.012 18.825 0.020 18.663 0.043 -1.000 -9.000 -26.937
210423.38-064913.9 1.3474 19.624 0.038 19.516 0.017 19.210 0.014 19.200 0.018 19.319 0.059  0.000 -9.000 -25.441
210425.75-004919.7 1.4868 20.134 0.053 20.228 0.023 19.991 0.022 19.766 0.024 19.816 0.083 -1.000 -9.000 -25.041
210430.02-070311.3 1.0791 19.094 0.031 18.733 0.015 18.344 0.011 18.263 0.011 18.255 0.026  0.000 -9.000 -25.861
210430.91-064333.6 1.6741 19.106 0.031 18.711 0.018 18.524 0.011 18.240 0.013 18.182 0.026  0.000 -9.000 -26.894
210432.89-005235.3 1.0182 21.249 0.095 20.702 0.032 20.243 0.023 20.175 0.033 20.109 0.112 -1.000 -9.000 -23.725
210433.42-064013.0 1.6753 20.103 0.050 19.821 0.022 19.590 0.017 19.203 0.017 19.094 0.048  0.000 -9.000 -25.932
210436.62-070738.3 2.3672 20.818 0.089 20.143 0.023 19.441 0.015 19.163 0.015 18.844 0.039 15.100 -9.000 -26.797
210440.70-064438.0 2.1478 19.622 0.038 19.324 0.019 19.209 0.014 19.094 0.016 18.894 0.041  0.000 -9.000 -26.617
210441.19-003054.9 1.2753 20.807 0.079 20.534 0.025 20.150 0.023 20.111 0.027 20.099 0.106 -1.000 -9.000 -24.333
210445.65-004501.5 0.9181 19.217 0.032 18.884 0.015 18.755 0.014 18.861 0.018 18.808 0.038 -1.000 -9.000 -24.784
210449.56+090638.2 2.0057 19.834 0.039 19.572 0.018 19.415 0.016 19.147 0.018 18.807 0.044 -1.000 -9.000 -26.402
210451.83-071209.4 0.3530 19.312 0.032 19.127 0.015 18.947 0.013 18.860 0.018 18.045 0.023  0.000 -9.000 -22.544
210455.45-002352.1 2.5717 19.603 0.038 18.971 0.014 18.922 0.017 18.897 0.020 18.601 0.035 -1.000 -9.000 -27.194
210458.94+093038.7 1.0589 19.303 0.031 19.170 0.013 18.817 0.011 18.813 0.015 18.940 0.047 -1.000 -9.000 -25.223
210504.96-072440.6 1.7435 22.292 0.302 21.239 0.044 20.376 0.031 19.597 0.023 19.179 0.058  0.000 -9.000 -25.658
210510.99-072637.2 1.2290 19.634 0.039 19.565 0.021 19.087 0.017 18.977 0.018 19.006 0.051  0.000 -9.000 -25.448
210514.03-004326.6 3.2496 23.261 0.664 21.042 0.037 20.537 0.031 20.328 0.032 20.167 0.111 -1.000 -9.000 -26.256
210519.37-001640.1 1.3626 19.777 0.040 19.655 0.020 19.292 0.017 19.232 0.023 19.277 0.053 -1.000 -9.000 -25.414
210523.80-000524.6 1.9296 19.687 0.035 19.549 0.014 19.378 0.015 19.096 0.017 18.903 0.042 -1.000 -9.000 -26.354
210524.49+000407.3 2.2833 18.318 0.022 17.366 0.014 16.679 0.010 16.350 0.016 16.167 0.017 -1.000 -9.000 -29.481
210524.69+001907.8 1.1370 19.761 0.036 19.624 0.015 19.461 0.015 19.422 0.019 19.390 0.069 -1.000 -9.000 -24.794
210530.86-061704.2 0.6473 19.495 0.032 18.909 0.014 18.776 0.013 18.605 0.016 18.644 0.042  0.000 -1.754 -24.248
210532.04+093735.4 0.5049 19.965 0.040 19.170 0.014 18.834 0.014 18.395 0.011 18.299 0.026 -1.000 -9.000 -23.852
210536.28-001449.5 1.2139 19.715 0.037 19.436 0.018 18.991 0.014 18.946 0.016 19.100 0.047 -1.000 -9.000 -25.424
210537.63-071449.8 1.2487 19.755 0.041 19.516 0.017 19.192 0.016 19.223 0.019 19.334 0.059  0.000 -9.000 -25.221
210545.63+090746.8 1.8876 19.639 0.035 19.391 0.019 19.375 0.014 19.277 0.022 19.236 0.063 -1.000 -9.000 -26.159
210546.75-052807.5 1.3179 20.316 0.058 19.823 0.018 19.338 0.015 19.161 0.018 19.162 0.058 -1.000 -9.000 -25.364
210548.37-063100.4 1.7275 19.627 0.035 19.358 0.014 19.196 0.015 18.946 0.022 18.854 0.049  0.000 -9.000 -26.272
210549.78+005106.9 2.7460 20.126 0.050 19.349 0.016 19.254 0.014 19.240 0.018 19.089 0.046 -1.000 -9.000 -27.059
210554.82+095258.0 2.0082 18.464 0.018 18.336 0.010 18.184 0.011 18.088 0.011 17.933 0.027 -1.000 -9.000 -27.468
210558.29-011127.4 1.6195 18.441 0.022 18.193 0.017 18.018 0.010 17.660 0.014 17.731 0.021 -1.000 -9.000 -27.349
210605.16+102434.4 3.2897 23.246 0.585 20.418 0.022 19.967 0.021 19.891 0.027 19.744 0.102 -1.000 -9.000 -26.768
210624.37+111220.1 0.6130 20.354 0.061 19.829 0.018 19.651 0.018 19.268 0.021 19.311 0.068 -1.000 -9.000 -23.447
210631.96-064236.8 1.4495 19.251 0.033 19.135 0.017 18.825 0.013 18.600 0.012 18.508 0.035  0.000 -9.000 -26.219
210632.99+001707.2 1.3074 20.670 0.067 20.537 0.023 20.067 0.022 20.088 0.030 20.033 0.117 -1.000 -9.000 -24.490
210633.21-055523.1 1.5937 20.009 0.041 19.627 0.017 19.480 0.015 19.261 0.019 19.269 0.058  0.000 -9.000 -25.760
210633.28+011338.0 0.4230 20.671 0.068 20.132 0.022 19.737 0.019 19.315 0.020 19.082 0.052 -1.000 -9.000 -22.591
210651.11+090936.0 0.3900 17.803 0.019 17.652 0.016 17.668 0.008 17.679 0.016 17.167 0.017 -1.000 -1.460 -24.008
210704.93-011044.0 1.3450 19.741 0.036 19.360 0.019 18.859 0.012 18.717 0.021 18.726 0.038 -1.000 -9.000 -25.870
210705.29-000827.8 0.9390 18.157 0.021 17.980 0.012 17.802 0.010 17.831 0.012 17.716 0.019 -1.000 -9.000 -25.942
210705.90+004430.9 0.9263 19.182 0.024 18.825 0.014 18.629 0.011 18.636 0.012 18.612 0.033 -1.000 -9.000 -25.131
210706.22-062506.7 1.5769 20.070 0.048 19.565 0.021 19.357 0.016 19.104 0.018 19.000 0.056  0.000 -9.000 -25.898
210712.77+005439.4 0.9244 22.434 0.299 20.549 0.027 20.563 0.032 20.373 0.041 19.772 0.080 -1.000 -9.000 -23.344
210713.45-000626.5 0.9020 19.596 0.031 19.189 0.014 18.931 0.012 18.896 0.017 18.681 0.034 -1.000 -9.000 -24.781
210714.72-073225.7 0.2124 19.313 0.034 18.875 0.017 18.543 0.013 18.177 0.015 18.061 0.031  0.000 -1.696 -22.012
210717.78-063717.2 1.5120 21.163 0.096 20.377 0.023 19.749 0.021 19.273 0.025 19.079 0.061  0.000 -9.000 -25.663
210719.56+003812.0 2.5749 19.903 0.035 19.229 0.016 19.095 0.013 18.997 0.015 18.733 0.036 -1.000 -9.000 -27.173
210728.80-064533.3 0.8209 19.195 0.030 18.795 0.014 18.640 0.012 18.706 0.015 18.621 0.036  0.000 -9.000 -24.758
210733.48-065525.8 1.5168 19.950 0.044 19.723 0.019 19.596 0.016 19.391 0.020 19.465 0.071  0.000 -9.000 -25.516
210735.14+111305.4 1.3117 19.482 0.038 19.404 0.016 18.866 0.014 18.745 0.017 18.729 0.040 -1.000 -9.000 -25.895
210742.84-073633.4 1.4382 19.635 0.037 19.518 0.021 19.223 0.015 19.073 0.018 19.049 0.049  0.000 -9.000 -25.664
210748.28-062154.0 1.7579 20.074 0.048 19.761 0.019 19.668 0.018 19.267 0.018 19.168 0.070  0.000 -9.000 -25.939
210750.44-002436.5 0.5852 20.332 0.051 19.663 0.017 19.139 0.014 18.935 0.019 18.753 0.036 -1.000 -9.000 -23.675
210751.21-073228.9 1.4826 18.884 0.027 18.592 0.018 18.323 0.012 18.092 0.018 18.104 0.027  0.000 -9.000 -26.738
210754.98-062519.1 0.6092 19.543 0.035 19.073 0.016 19.067 0.014 18.867 0.015 18.961 0.058  0.000 -9.000 -23.789
210757.67-062010.6 0.6456 18.225 0.022 17.496 0.014 17.246 0.011 16.851 0.011 16.806 0.022 13.191 -9.000 -25.950
210801.28-001737.4 0.9268 20.966 0.079 20.364 0.023 19.770 0.018 19.740 0.026 19.444 0.057 -1.000 -9.000 -24.010
210803.84+010217.2 2.4447 20.536 0.065 19.765 0.019 19.590 0.017 19.500 0.023 19.213 0.054 -1.000 -9.000 -26.551
210808.81-071638.0 1.2141 19.632 0.039 19.367 0.018 18.979 0.017 18.882 0.021 18.678 0.035  0.000 -9.000 -25.468
210818.45-061740.4 1.4908 19.752 0.036 19.638 0.017 19.334 0.017 19.166 0.019 19.117 0.056  0.000 -9.000 -25.646
210829.58+003551.7 0.7069 20.267 0.047 19.502 0.017 19.255 0.016 18.935 0.015 18.990 0.041 -1.000 -9.000 -24.199
210831.56-063022.6 2.3447 17.923 0.019 17.410 0.011 17.227 0.010 17.176 0.012 17.064 0.019  0.000 -9.000 -28.676
210832.13+094621.4 0.5386 19.681 0.035 19.312 0.014 19.365 0.018 19.112 0.016 19.048 0.050 -1.000 -9.000 -23.321
210833.50+090613.0 0.9445 19.429 0.031 19.040 0.016 18.670 0.012 18.607 0.014 18.396 0.028 -1.000 -9.000 -25.258
210837.18+090926.3 0.9396 19.831 0.039 19.593 0.019 18.946 0.012 18.755 0.015 18.389 0.036 -1.000 -9.000 -25.072
210839.33+100413.7 2.1599 19.917 0.048 19.560 0.016 19.567 0.017 19.178 0.018 18.826 0.044 -1.000 -9.000 -26.614
210839.73-004816.8 0.5888 19.394 0.034 19.021 0.018 19.089 0.015 18.904 0.016 18.953 0.040 -1.000 -9.000 -23.702
210842.21+003524.1 2.6730 19.171 0.027 18.274 0.014 18.163 0.013 18.044 0.014 17.769 0.025 -1.000 -9.000 -28.230
210851.54-074726.5 1.4897 19.577 0.035 19.142 0.017 18.808 0.015 18.524 0.015 18.416 0.034  0.000 -9.000 -26.283
210903.71+004555.2 1.5009 20.043 0.039 19.585 0.017 19.294 0.017 18.915 0.016 18.785 0.035 -1.000 -9.000 -26.019
210905.34-075101.5 1.1015 19.212 0.035 19.093 0.020 18.718 0.012 18.706 0.016 18.799 0.043  0.000 -9.000 -25.386
210906.17-072003.3 1.9411 19.617 0.040 19.454 0.020 19.387 0.018 19.156 0.019 19.017 0.045  0.000 -9.000 -26.338
210916.06+095959.5 1.6724 19.824 0.038 19.545 0.018 19.459 0.015 19.187 0.019 19.098 0.045 -1.000 -9.000 -25.968
210916.85-064436.6 1.0809 19.069 0.028 18.816 0.012 18.454 0.012 18.402 0.012 18.481 0.038  0.000 -1.775 -25.639
210917.98-073153.2 0.8411 18.880 0.025 18.613 0.019 18.370 0.015 18.326 0.020 18.201 0.030  0.000 -9.000 -25.166
210918.73-072138.1 1.2312 19.454 0.037 19.427 0.019 18.937 0.016 18.787 0.017 18.737 0.039 16.220 -9.000 -25.655
210920.70+092517.5 1.0977 19.904 0.046 19.650 0.018 19.227 0.016 19.167 0.016 19.138 0.048 -1.000 -9.000 -24.975
210922.80-060352.6 2.2852 19.772 0.037 19.260 0.014 19.107 0.015 19.063 0.020 18.819 0.041  0.000 -9.000 -26.775
210925.45-062424.8 1.7713 20.277 0.056 19.489 0.015 18.912 0.013 18.247 0.015 17.997 0.029  0.000 -9.000 -26.977
210925.59-053338.7 1.4591 19.902 0.047 19.650 0.019 19.444 0.018 19.261 0.021 19.379 0.073  0.000 -9.000 -25.581
210926.40+090636.3 2.8924 22.989 0.532 20.513 0.029 20.499 0.029 20.388 0.039 20.096 0.101 -1.000 -9.000 -26.062
210926.42-073925.0 1.8770 19.441 0.033 19.261 0.018 19.065 0.016 18.758 0.016 18.540 0.036 12.271 -9.000 -26.610
210926.85+010123.2 0.4112 19.789 0.040 19.428 0.020 19.379 0.017 19.204 0.018 18.854 0.041 -1.000 -9.000 -22.578
210926.94+112321.6 0.4353 19.294 0.034 18.974 0.015 19.020 0.014 18.854 0.017 18.498 0.035 -1.000 -1.667 -23.072
210927.29-061015.1 0.5724 19.198 0.029 18.717 0.012 18.628 0.012 18.461 0.016 18.464 0.034  0.000 -1.645 -24.061
210935.41+100632.6 3.0283 21.117 0.090 19.302 0.013 19.091 0.013 19.120 0.019 19.001 0.052 -1.000 -9.000 -27.361
210939.74+003255.9 0.9911 18.995 0.026 18.812 0.015 18.553 0.012 18.482 0.018 18.490 0.028 -1.000 -9.000 -25.481
210940.33-063225.8 1.4434 19.008 0.026 18.771 0.017 18.594 0.013 18.431 0.015 18.470 0.040  0.000 -9.000 -26.314
210946.73+105601.0 1.6277 19.669 0.036 19.230 0.015 18.971 0.011 18.753 0.018 18.738 0.040 -1.000 -9.000 -26.309
